article_id,instrument,evaluation_timestamp,split,engine,engine_version,original_label,canonical_direction,signal_score,signal_confidence,signal_mode,data_quality,signal_run_id,1D_return,1D_realized_direction,1D_correct,1D_status,component_summary
46,US:AAPL,2023-12-14,DEVELOPMENT,v1,1.0,bullish,BULLISH,0.5722273627784837,0.7710176512995375,News-only signal,UNASSESSED,41,-0.002725724519050843,BEARISH,False,VALID,
46,US:AAPL,2023-12-14,DEVELOPMENT,v2,2.0,bullish,BULLISH,0.3444340701441376,0.6624988313312651,NEWS_PLUS_MARKET,UNASSESSED,42,-0.002725724519050843,BEARISH,False,VALID,"{""components"": [{""available"": true, ""contribution"": 0.41963339937088817, ""metadata"": {""agreement"": 0.7629698170379784, ""total_weight"": 1.9275441282488437, ""weighted_items"": 5}, ""name"": ""news"", ""normalized_value"": 0.7629698170379784, ""raw_value"": 0.7629698170379784, ""reason"": ""Recent, relevant news was aggregated by sentiment, confidence, impact, relevance, and recency."", ""reliability"": 0.33982021191114936, ""weight"": 0.55}, {""available"": true, ""contribution"": 0.1459132142199717, ""metadata"": {""agreement"": 1.0, ""horizons"": [{""horizon_bars"": 1.0, ""normalized"": 0.33382978665046037, ""return"": 0.01669148933252302, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.3798839100483133, ""return"": 0.018994195502415667, ""weight"": 0.3}, {""horizon_bars"": 16.0, ""normalized"": 0.6800741571581176, ""return"": 0.03400370785790588, ""weight"": 0.2}]}, ""name"": ""price_momentum"", ""normalized_value"": 0.4168948977713477, ""raw_value"": 0.01669148933252302, ""reason"": ""Recent close-to-close returns were combined across available short horizons."", ""reliability"": 1.0, ""weight"": 0.35}, {""available"": true, ""contribution"": 0.02491179237051886, ""metadata"": {""base_direction"": 0.5899323574046631, ""baseline_volume"": 46991400.0, ""recent_volume"": 70404200.0, ""relative_volume"": 1.4982358474103772}, ""name"": ""volume_confirmation"", ""normalized_value"": 0.2491179237051886, ""raw_value"": 1.4982358474103772, ""reason"": ""Volume confirms or weakens the existing directional evidence; it does not create direction by itself."", ""reliability"": 0.7491179237051886, ""weight"": 0.1}, {""available"": false, ""contribution"": 0.0, ""metadata"": {}, ""name"": ""liquidity"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""No quote was available for liquidity/spread assessment."", ""reliability"": 0.5, ""weight"": 0.0}, {""available"": false, ""contribution"": 0.0, ""metadata"": {""freshness"": ""UNKNOWN""}, ""name"": ""freshness"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""Freshness is UNKNOWN; it affects trust, not direction."", ""reliability"": 0.6, ""weight"": 0.0}, {""available"": false, ""contribution"": 0.0, ""metadata"": {}, ""name"": ""data_quality"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""No explicit data-quality assessment was supplied."", ""reliability"": 0.65, ""weight"": 0.0}], ""confidence_label"": ""medium"", ""data_quality"": {""bars"": null, ""news"": null, ""quote"": null}, ""missing_inputs"": [], ""top_opposing_factors"": [], ""top_supporting_factors"": [""Recent, relevant news was aggregated by sentiment, confidence, impact, relevance, and recency."", ""Recent close-to-close returns were combined across available short horizons.""], ""warnings"": [""No quote was available for liquidity/spread assessment.""]}"
47,US:AAPL,2023-12-14,DEVELOPMENT,v1,1.0,bullish,BULLISH,0.5722273627784837,0.7710176512995375,News-only signal,UNASSESSED,43,-0.002725724519050843,BEARISH,False,VALID,
47,US:AAPL,2023-12-14,DEVELOPMENT,v2,2.0,bullish,BULLISH,0.3444340701441376,0.6624988313312651,NEWS_PLUS_MARKET,UNASSESSED,44,-0.002725724519050843,BEARISH,False,VALID,"{""components"": [{""available"": true, ""contribution"": 0.41963339937088817, ""metadata"": {""agreement"": 0.7629698170379784, ""total_weight"": 1.9275441282488437, ""weighted_items"": 5}, ""name"": ""news"", ""normalized_value"": 0.7629698170379784, ""raw_value"": 0.7629698170379784, ""reason"": ""Recent, relevant news was aggregated by sentiment, confidence, impact, relevance, and recency."", ""reliability"": 0.33982021191114936, ""weight"": 0.55}, {""available"": true, ""contribution"": 0.1459132142199717, ""metadata"": {""agreement"": 1.0, ""horizons"": [{""horizon_bars"": 1.0, ""normalized"": 0.33382978665046037, ""return"": 0.01669148933252302, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.3798839100483133, ""return"": 0.018994195502415667, ""weight"": 0.3}, {""horizon_bars"": 16.0, ""normalized"": 0.6800741571581176, ""return"": 0.03400370785790588, ""weight"": 0.2}]}, ""name"": ""price_momentum"", ""normalized_value"": 0.4168948977713477, ""raw_value"": 0.01669148933252302, ""reason"": ""Recent close-to-close returns were combined across available short horizons."", ""reliability"": 1.0, ""weight"": 0.35}, {""available"": true, ""contribution"": 0.02491179237051886, ""metadata"": {""base_direction"": 0.5899323574046631, ""baseline_volume"": 46991400.0, ""recent_volume"": 70404200.0, ""relative_volume"": 1.4982358474103772}, ""name"": ""volume_confirmation"", ""normalized_value"": 0.2491179237051886, ""raw_value"": 1.4982358474103772, ""reason"": ""Volume confirms or weakens the existing directional evidence; it does not create direction by itself."", ""reliability"": 0.7491179237051886, ""weight"": 0.1}, {""available"": false, ""contribution"": 0.0, ""metadata"": {}, ""name"": ""liquidity"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""No quote was available for liquidity/spread assessment."", ""reliability"": 0.5, ""weight"": 0.0}, {""available"": false, ""contribution"": 0.0, ""metadata"": {""freshness"": ""UNKNOWN""}, ""name"": ""freshness"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""Freshness is UNKNOWN; it affects trust, not direction."", ""reliability"": 0.6, ""weight"": 0.0}, {""available"": false, ""contribution"": 0.0, ""metadata"": {}, ""name"": ""data_quality"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""No explicit data-quality assessment was supplied."", ""reliability"": 0.65, ""weight"": 0.0}], ""confidence_label"": ""medium"", ""data_quality"": {""bars"": null, ""news"": null, ""quote"": null}, ""missing_inputs"": [], ""top_opposing_factors"": [], ""top_supporting_factors"": [""Recent, relevant news was aggregated by sentiment, confidence, impact, relevance, and recency."", ""Recent close-to-close returns were combined across available short horizons.""], ""warnings"": [""No quote was available for liquidity/spread assessment.""]}"
48,US:AAPL,2023-12-14,DEVELOPMENT,v1,1.0,bullish,BULLISH,0.5722273627784837,0.7710176512995375,News-only signal,UNASSESSED,45,-0.002725724519050843,BEARISH,False,VALID,
48,US:AAPL,2023-12-14,DEVELOPMENT,v2,2.0,bullish,BULLISH,0.3444340701441376,0.6624988313312651,NEWS_PLUS_MARKET,UNASSESSED,46,-0.002725724519050843,BEARISH,False,VALID,"{""components"": [{""available"": true, ""contribution"": 0.41963339937088817, ""metadata"": {""agreement"": 0.7629698170379784, ""total_weight"": 1.9275441282488437, ""weighted_items"": 5}, ""name"": ""news"", ""normalized_value"": 0.7629698170379784, ""raw_value"": 0.7629698170379784, ""reason"": ""Recent, relevant news was aggregated by sentiment, confidence, impact, relevance, and recency."", ""reliability"": 0.33982021191114936, ""weight"": 0.55}, {""available"": true, ""contribution"": 0.1459132142199717, ""metadata"": {""agreement"": 1.0, ""horizons"": [{""horizon_bars"": 1.0, ""normalized"": 0.33382978665046037, ""return"": 0.01669148933252302, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.3798839100483133, ""return"": 0.018994195502415667, ""weight"": 0.3}, {""horizon_bars"": 16.0, ""normalized"": 0.6800741571581176, ""return"": 0.03400370785790588, ""weight"": 0.2}]}, ""name"": ""price_momentum"", ""normalized_value"": 0.4168948977713477, ""raw_value"": 0.01669148933252302, ""reason"": ""Recent close-to-close returns were combined across available short horizons."", ""reliability"": 1.0, ""weight"": 0.35}, {""available"": true, ""contribution"": 0.02491179237051886, ""metadata"": {""base_direction"": 0.5899323574046631, ""baseline_volume"": 46991400.0, ""recent_volume"": 70404200.0, ""relative_volume"": 1.4982358474103772}, ""name"": ""volume_confirmation"", ""normalized_value"": 0.2491179237051886, ""raw_value"": 1.4982358474103772, ""reason"": ""Volume confirms or weakens the existing directional evidence; it does not create direction by itself."", ""reliability"": 0.7491179237051886, ""weight"": 0.1}, {""available"": false, ""contribution"": 0.0, ""metadata"": {}, ""name"": ""liquidity"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""No quote was available for liquidity/spread assessment."", ""reliability"": 0.5, ""weight"": 0.0}, {""available"": false, ""contribution"": 0.0, ""metadata"": {""freshness"": ""UNKNOWN""}, ""name"": ""freshness"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""Freshness is UNKNOWN; it affects trust, not direction."", ""reliability"": 0.6, ""weight"": 0.0}, {""available"": false, ""contribution"": 0.0, ""metadata"": {}, ""name"": ""data_quality"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""No explicit data-quality assessment was supplied."", ""reliability"": 0.65, ""weight"": 0.0}], ""confidence_label"": ""medium"", ""data_quality"": {""bars"": null, ""news"": null, ""quote"": null}, ""missing_inputs"": [], ""top_opposing_factors"": [], ""top_supporting_factors"": [""Recent, relevant news was aggregated by sentiment, confidence, impact, relevance, and recency."", ""Recent close-to-close returns were combined across available short horizons.""], ""warnings"": [""No quote was available for liquidity/spread assessment.""]}"
49,US:AAPL,2023-12-14,DEVELOPMENT,v1,1.0,bullish,BULLISH,0.5722273627784837,0.7710176512995375,News-only signal,UNASSESSED,47,-0.002725724519050843,BEARISH,False,VALID,
49,US:AAPL,2023-12-14,DEVELOPMENT,v2,2.0,bullish,BULLISH,0.3444340701441376,0.6624988313312651,NEWS_PLUS_MARKET,UNASSESSED,48,-0.002725724519050843,BEARISH,False,VALID,"{""components"": [{""available"": true, ""contribution"": 0.41963339937088817, ""metadata"": {""agreement"": 0.7629698170379784, ""total_weight"": 1.9275441282488437, ""weighted_items"": 5}, ""name"": ""news"", ""normalized_value"": 0.7629698170379784, ""raw_value"": 0.7629698170379784, ""reason"": ""Recent, relevant news was aggregated by sentiment, confidence, impact, relevance, and recency."", ""reliability"": 0.33982021191114936, ""weight"": 0.55}, {""available"": true, ""contribution"": 0.1459132142199717, ""metadata"": {""agreement"": 1.0, ""horizons"": [{""horizon_bars"": 1.0, ""normalized"": 0.33382978665046037, ""return"": 0.01669148933252302, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.3798839100483133, ""return"": 0.018994195502415667, ""weight"": 0.3}, {""horizon_bars"": 16.0, ""normalized"": 0.6800741571581176, ""return"": 0.03400370785790588, ""weight"": 0.2}]}, ""name"": ""price_momentum"", ""normalized_value"": 0.4168948977713477, ""raw_value"": 0.01669148933252302, ""reason"": ""Recent close-to-close returns were combined across available short horizons."", ""reliability"": 1.0, ""weight"": 0.35}, {""available"": true, ""contribution"": 0.02491179237051886, ""metadata"": {""base_direction"": 0.5899323574046631, ""baseline_volume"": 46991400.0, ""recent_volume"": 70404200.0, ""relative_volume"": 1.4982358474103772}, ""name"": ""volume_confirmation"", ""normalized_value"": 0.2491179237051886, ""raw_value"": 1.4982358474103772, ""reason"": ""Volume confirms or weakens the existing directional evidence; it does not create direction by itself."", ""reliability"": 0.7491179237051886, ""weight"": 0.1}, {""available"": false, ""contribution"": 0.0, ""metadata"": {}, ""name"": ""liquidity"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""No quote was available for liquidity/spread assessment."", ""reliability"": 0.5, ""weight"": 0.0}, {""available"": false, ""contribution"": 0.0, ""metadata"": {""freshness"": ""UNKNOWN""}, ""name"": ""freshness"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""Freshness is UNKNOWN; it affects trust, not direction."", ""reliability"": 0.6, ""weight"": 0.0}, {""available"": false, ""contribution"": 0.0, ""metadata"": {}, ""name"": ""data_quality"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""No explicit data-quality assessment was supplied."", ""reliability"": 0.65, ""weight"": 0.0}], ""confidence_label"": ""medium"", ""data_quality"": {""bars"": null, ""news"": null, ""quote"": null}, ""missing_inputs"": [], ""top_opposing_factors"": [], ""top_supporting_factors"": [""Recent, relevant news was aggregated by sentiment, confidence, impact, relevance, and recency."", ""Recent close-to-close returns were combined across available short horizons.""], ""warnings"": [""No quote was available for liquidity/spread assessment.""]}"
50,US:AAPL,2023-12-14,DEVELOPMENT,v1,1.0,bullish,BULLISH,0.5722273627784837,0.7710176512995375,News-only signal,UNASSESSED,49,-0.002725724519050843,BEARISH,False,VALID,
50,US:AAPL,2023-12-14,DEVELOPMENT,v2,2.0,bullish,BULLISH,0.3444340701441376,0.6624988313312651,NEWS_PLUS_MARKET,UNASSESSED,50,-0.002725724519050843,BEARISH,False,VALID,"{""components"": [{""available"": true, ""contribution"": 0.41963339937088817, ""metadata"": {""agreement"": 0.7629698170379784, ""total_weight"": 1.9275441282488437, ""weighted_items"": 5}, ""name"": ""news"", ""normalized_value"": 0.7629698170379784, ""raw_value"": 0.7629698170379784, ""reason"": ""Recent, relevant news was aggregated by sentiment, confidence, impact, relevance, and recency."", ""reliability"": 0.33982021191114936, ""weight"": 0.55}, {""available"": true, ""contribution"": 0.1459132142199717, ""metadata"": {""agreement"": 1.0, ""horizons"": [{""horizon_bars"": 1.0, ""normalized"": 0.33382978665046037, ""return"": 0.01669148933252302, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.3798839100483133, ""return"": 0.018994195502415667, ""weight"": 0.3}, {""horizon_bars"": 16.0, ""normalized"": 0.6800741571581176, ""return"": 0.03400370785790588, ""weight"": 0.2}]}, ""name"": ""price_momentum"", ""normalized_value"": 0.4168948977713477, ""raw_value"": 0.01669148933252302, ""reason"": ""Recent close-to-close returns were combined across available short horizons."", ""reliability"": 1.0, ""weight"": 0.35}, {""available"": true, ""contribution"": 0.02491179237051886, ""metadata"": {""base_direction"": 0.5899323574046631, ""baseline_volume"": 46991400.0, ""recent_volume"": 70404200.0, ""relative_volume"": 1.4982358474103772}, ""name"": ""volume_confirmation"", ""normalized_value"": 0.2491179237051886, ""raw_value"": 1.4982358474103772, ""reason"": ""Volume confirms or weakens the existing directional evidence; it does not create direction by itself."", ""reliability"": 0.7491179237051886, ""weight"": 0.1}, {""available"": false, ""contribution"": 0.0, ""metadata"": {}, ""name"": ""liquidity"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""No quote was available for liquidity/spread assessment."", ""reliability"": 0.5, ""weight"": 0.0}, {""available"": false, ""contribution"": 0.0, ""metadata"": {""freshness"": ""UNKNOWN""}, ""name"": ""freshness"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""Freshness is UNKNOWN; it affects trust, not direction."", ""reliability"": 0.6, ""weight"": 0.0}, {""available"": false, ""contribution"": 0.0, ""metadata"": {}, ""name"": ""data_quality"", ""normalized_value"": 0.0, ""raw_value"": null, ""reason"": ""No explicit data-quality assessment was supplied."", ""reliability"": 0.65, ""weight"": 0.0}], ""confidence_label"": ""medium"", ""data_quality"": {""bars"": null, ""news"": null, ""quote"": null}, ""missing_inputs"": [], ""top_opposing_factors"": [], ""top_supporting_factors"": [""Recent, relevant news was aggregated by sentiment, confidence, impact, relevance, and recency."", ""Recent close-to-close returns were combined across available short horizons.""], ""warnings"": [""No quote was available for liquidity/spread assessment.""]}"
